"","logFC","logCPM","F","PValue","FDR"
"AT4G15540",1.13601568071906,7.22299688536074,200.895493996279,2.32928605818422e-15,4.77643399091256e-11
"AT1G62310",0.789005694002517,7.70572160542541,189.293658823627,5.30439241007073e-15,5.43859353804552e-11
"AT4G37540",-2.47710534319814,3.43461234477169,169.994096049678,2.30752452804586e-14,1.30364828917156e-10
"AT1G20490",1.89921148743923,4.00701172921383,168.780082997041,2.54295969798412e-14,1.30364828917156e-10
"AT2G02810",-1.27028511710081,4.23022913830208,156.116901263914,7.26802641781907e-14,2.98076299447596e-10
"AT4G39210",1.33014586664276,6.5402694088464,144.998110628929,1.9414042309683e-13,6.63507252670598e-10
"AT4G09020",1.34774284531391,6.84617039493157,136.694000676728,4.21499939723906e-13,1.23475396628263e-09
"AT1G75040",-2.42363400852378,4.39836628985338,126.786105393298,1.11962446034246e-12,2.55806994542715e-09
"AT5G25390",2.48018887771193,2.29527741793794,125.980455093988,1.2154514828839e-12,2.55806994542715e-09
"AT1G65930",-0.878165537332478,7.62398575893704,125.11245624419,1.32852233988848e-12,2.55806994542715e-09
"AT2G20670",-1.60647548076595,5.11382183795349,124.797845208327,1.37222127180819e-12,2.55806994542715e-09
"AT4G34350",-0.833353882091359,7.27576572013027,122.028678973259,1.8296942627943e-12,2.80315890861534e-09
"AT3G23530",-0.974047908485607,6.65707107466661,121.62074291466,1.90975353696309e-12,2.80315890861534e-09
"AT1G05030",0.975906811845932,5.7233118686369,120.982031322337,2.04266933141558e-12,2.80315890861534e-09
"AT5G19470",3.62774307473834,3.60328633653293,120.945828289339,2.05049174042866e-12,2.80315890861534e-09
"AT2G39210",-1.10615678612339,4.09693115904645,115.227402512554,3.7945606642998e-12,4.86320381138323e-09
"AT4G28660",-1.4435742583729,5.57970556603017,111.444215459705,5.77867886996428e-12,6.9704464063228e-09
"AT1G68670",-0.750096327127833,6.10161008685679,110.194955482215,6.65607084804901e-12,7.30243105792089e-09
"AT4G38470",-0.916819775772691,6.08025037216148,110.050734032884,6.76612650446196e-12,7.30243105792089e-09
"AT1G04313",2.09280237057817,1.83910572447844,106.342981703701,1.03751597144763e-11,1.06376512552526e-08
"AT1G43800",-2.16541119443714,3.17873763592194,104.19614184663,1.33599229359258e-11,1.27723173814219e-08
"AT1G67360",1.27194061810339,5.3144456933746,103.982804121143,1.37028665947178e-11,1.27723173814219e-08
"AT1G77600",0.659684127415488,6.91366704339223,99.5614271803422,2.33860218663588e-11,2.0850163669198e-08
"AT5G03190",0.85429063859987,6.35202809356281,98.0888223900314,2.80563286525715e-11,2.39717948062346e-08
"AT1G69270",0.842514555001314,5.02770761386506,97.5272771001301,3.00900485055517e-11,2.46810613861938e-08
"AT4G24770",-1.22124375838914,7.36336365118615,96.0687123898873,3.61402132758807e-11,2.85035082090465e-08
"AT2G34850",1.1038173484087,4.70554690827109,95.5399622525421,3.86421991779506e-11,2.86091793222211e-08
"AT2G19810",1.34604216988238,5.13293338206072,95.4543111908374,3.90645187273086e-11,2.86091793222211e-08
"AT5G49890",0.848985522498021,6.40399456615698,95.1654660610597,4.05252620554025e-11,2.86555525416581e-08
"AT5G18130",1.06580525130618,5.56601480613382,92.7680548993124,5.51426782177291e-11,3.76918586510918e-08
"AT4G04955",1.85377705776473,4.79985862097057,92.0629044123123,6.04403322620352e-11,3.99803049472675e-08
"AT3G57680",1.2712340254512,4.43074204388103,91.2399291166923,6.73152695793283e-11,4.31364661873033e-08
"AT1G62710",1.32415012275665,5.04202758924953,89.4611243652328,8.51785948979185e-11,5.29294626356581e-08
"AT1G17940",0.803319664915662,5.19323596117037,88.3332961391615,9.90668549089837e-11,5.97489684342241e-08
"AT3G60130",-1.2040957964287,5.66889505003763,88.0185437414426,1.03358581078549e-10,6.05563161027635e-08
"AT4G25050",-1.35628091130859,6.88355642847247,87.3918877931217,1.12502545214028e-10,6.40826997821903e-08
"AT5G20250",-2.44107943584529,5.26794598600236,87.0705019462306,1.17522140719549e-10,6.40975843336822e-08
"AT1G77760",-0.90630578123035,7.31924203162685,86.6010269323463,1.25286905128935e-10,6.40975843336822e-08
"AT3G53400",0.72458772428029,5.96099981728268,86.4793089643839,1.27387785225808e-10,6.40975843336822e-08
"AT5G06510",1.37923109421329,3.87542827923948,86.4411574653822,1.28053969327307e-10,6.40975843336822e-08
"AT5G08050",-1.22663680966005,5.79915328727696,86.4352382587593,1.28157659108601e-10,6.40975843336822e-08
