GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0010876	P	lipid localization	11	49	15	22479	1.2e-23	5e-22	// AT3G01570 // AT3G27660 // AT4G25140 // AT4G27140 // AT4G27150 // AT3G18570 // AT5G40420 // AT4G27160 // AT5G54740 // AT4G27170 // AT1G05510 
GO:0033036	P	macromolecule localization	13	49	404	22479	3.6e-12	1.5e-10	// AT3G01570 // AT3G27660 // AT5G60460 // AT4G25140 // AT4G27140 // AT4G27150 // AT3G18570 // AT5G40420 // AT4G27160 // AT5G54740 // AT4G16160 // AT4G27170 // AT1G05510 
GO:0019915	P	lipid storage	6	49	15	22479	4.1e-12	1.7e-10	// AT3G27660 // AT4G25140 // AT3G18570 // AT3G01570 // AT5G40420 // AT1G05510 
GO:0009791	P	post-embryonic development	13	49	501	22479	4.8e-11	1.9e-09	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT2G27380 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0048316	P	seed development	12	49	404	22479	6.7e-11	2.6e-09	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0010154	P	fruit development	12	49	420	22479	1e-10	3.9e-09	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0009737	P	response to abscisic acid stimulus	10	49	255	22479	2.4e-10	8.7e-09	// AT3G24650 // AT5G44120 // AT1G05510 // AT4G28520 // AT5G62490 // AT5G50600 // AT1G48130 // AT1G03880 // AT2G21490 // AT5G45830 
GO:0010431	P	seed maturation	5	49	21	22479	2.5e-09	9e-08	// AT4G28520 // AT1G03880 // AT1G03890 // AT5G44120 // AT1G48130 
GO:0048608	P	reproductive structure development	12	49	702	22479	2.9e-08	9.7e-07	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0048609	P	reproductive process in a multicellular organism	5	49	36	22479	2.8e-08	9.7e-07	// AT4G28520 // AT1G03880 // AT1G03890 // AT5G44120 // AT1G48130 
GO:0003006	P	reproductive developmental process	12	49	702	22479	2.9e-08	9.7e-07	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0032504	P	multicellular organism reproduction	5	49	39	22479	4e-08	1.3e-06	// AT4G28520 // AT1G03880 // AT1G03890 // AT5G44120 // AT1G48130 
GO:0022414	P	reproductive process	12	49	845	22479	2.1e-07	6.6e-06	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0007275	P	multicellular organismal development	15	49	1426	22479	2.3e-07	6.8e-06	// AT3G24650 // AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT5G40420 // AT2G27380 // AT1G48130 // AT5G54740 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0009725	P	response to hormone stimulus	11	49	687	22479	2.3e-07	6.8e-06	// AT3G24650 // AT5G44120 // AT3G22640 // AT1G05510 // AT4G28520 // AT5G62490 // AT5G50600 // AT1G48130 // AT1G03880 // AT2G21490 // AT5G45830 
GO:0000003	P	reproduction	12	49	860	22479	2.6e-07	7.2e-06	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0009845	P	seed germination	5	49	63	22479	3.7e-07	9.7e-06	// AT1G03880 // AT2G27380 // AT3G27660 // AT5G40420 // AT4G25140 
GO:0032501	P	multicellular organismal process	15	49	1479	22479	3.6e-07	9.7e-06	// AT3G24650 // AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT5G40420 // AT2G27380 // AT1G48130 // AT5G54740 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0009719	P	response to endogenous stimulus	11	49	748	22479	5.3e-07	1.3e-05	// AT3G24650 // AT5G44120 // AT3G22640 // AT1G05510 // AT4G28520 // AT5G62490 // AT5G50600 // AT1G48130 // AT1G03880 // AT2G21490 // AT5G45830 
GO:0051179	P	localization	15	49	1621	22479	1.1e-06	2.8e-05	// AT1G17810 // AT3G27660 // AT5G60460 // AT4G27160 // AT4G27140 // AT4G27150 // AT4G27170 // AT4G16160 // AT3G18570 // AT5G40420 // AT3G01570 // AT5G54740 // AT4G25140 // AT1G73190 // AT1G05510 
GO:0032502	P	developmental process	15	49	1644	22479	1.4e-06	3.1e-05	// AT3G24650 // AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT5G40420 // AT2G27380 // AT1G48130 // AT5G54740 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0006869	P	lipid transport	5	49	113	22479	5.7e-06	0.00013	// AT4G27170 // AT4G27140 // AT4G27150 // AT4G27160 // AT5G54740 
GO:0010033	P	response to organic substance	11	49	974	22479	6.7e-06	0.00014	// AT3G24650 // AT5G44120 // AT3G22640 // AT1G05510 // AT4G28520 // AT5G62490 // AT5G50600 // AT1G48130 // AT1G03880 // AT2G21490 // AT5G45830 
GO:0048856	P	anatomical structure development	12	49	1232	22479	1e-05	0.00021	// AT5G44120 // AT3G27660 // AT4G28520 // AT4G25140 // AT4G21020 // AT4G26740 // AT1G48130 // AT5G40420 // AT1G03880 // AT1G03890 // AT5G07190 // AT1G05510 
GO:0050896	P	response to stimulus	19	49	3107	22479	1.4e-05	0.00026	// AT3G24650 // AT5G44120 // AT3G22640 // AT3G27660 // AT4G28520 // AT4G25140 // AT2G02120 // AT5G62490 // AT4G26740 // AT5G50600 // AT5G40420 // AT1G03880 // AT1G48130 // AT5G22470 // AT4G01970 // AT1G14950 // AT2G21490 // AT5G45830 // AT1G05510 
GO:0032870	P	cellular response to hormone stimulus	5	49	223	22479	0.00013	0.0024	// AT4G28520 // AT3G24650 // AT5G44120 // AT5G45830 // AT1G03880 
GO:0009790	P	embryonic development	6	49	376	22479	0.00017	0.0029	// AT3G24650 // AT1G05510 // AT4G28520 // AT4G21020 // AT4G26740 // AT5G07190 
GO:0042221	P	response to chemical stimulus	12	49	1684	22479	0.00021	0.0034	// AT3G24650 // AT5G44120 // AT3G22640 // AT1G05510 // AT4G28520 // AT5G62490 // AT5G50600 // AT1G48130 // AT4G01970 // AT1G03880 // AT2G21490 // AT5G45830 
GO:0070887	P	cellular response to chemical stimulus	5	49	314	22479	0.00063	0.0095	// AT4G28520 // AT3G24650 // AT5G44120 // AT5G45830 // AT1G03880 
GO:0009793	P	embryonic development ending in seed dormancy	5	49	339	22479	0.00089	0.012	// AT4G28520 // AT4G21020 // AT1G05510 // AT4G26740 // AT5G07190 
GO:0006950	P	response to stress	11	49	1766	22479	0.0013	0.016	// AT3G27660 // AT4G25140 // AT2G02120 // AT5G62490 // AT4G26740 // AT1G48130 // AT5G22470 // AT4G01970 // AT1G14950 // AT2G21490 // AT5G40420 
GO:0051716	P	cellular response to stimulus	6	49	565	22479	0.0014	0.017	// AT3G24650 // AT5G44120 // AT4G28520 // AT5G22470 // AT1G03880 // AT5G45830 
GO:0006810	P	transport	10	49	1556	22479	0.0017	0.018	// AT1G17810 // AT4G27170 // AT5G60460 // AT4G16160 // AT4G27140 // AT4G27150 // AT1G73190 // AT3G01570 // AT5G54740 // AT4G27160 
GO:0051234	P	establishment of localization	10	49	1562	22479	0.0018	0.018	// AT1G17810 // AT4G27170 // AT5G60460 // AT4G16160 // AT4G27140 // AT4G27150 // AT1G73190 // AT3G01570 // AT5G54740 // AT4G27160 
GO:0009628	P	response to abiotic stimulus	6	49	1083	22479	0.03	0.27	// AT3G27660 // AT4G25140 // AT5G62490 // AT1G48130 // AT5G40420 // AT2G21490 
GO:0044260	P	cellular macromolecule metabolic process	5	49	4984	22479	0.99	1	// AT3G24650 // AT1G62710 // AT5G22470 // AT5G45830 // AT4G18650 
GO:0044238	P	primary metabolic process	9	49	7105	22479	0.99	1	// AT3G24650 // AT4G18650 // AT4G26740 // AT5G50600 // AT5G45830 // AT5G22470 // AT4G01970 // AT1G62710 // AT4G10020 
GO:0009058	P	biosynthetic process	6	49	3865	22479	0.87	1	// AT3G24650 // AT4G18650 // AT4G26740 // AT4G10020 // AT5G45830 // AT5G22470 
GO:0008152	P	metabolic process	11	49	8320	22479	0.99	1	// AT3G24650 // AT4G18650 // AT4G26740 // AT5G50600 // AT5G45830 // AT1G48130 // AT5G22470 // AT4G01970 // AT1G73190 // AT1G62710 // AT4G10020 
GO:0044237	P	cellular metabolic process	7	49	6709	22479	1	1	// AT3G24650 // AT4G18650 // AT4G26740 // AT1G73190 // AT5G22470 // AT1G62710 // AT5G45830 
GO:0043170	P	macromolecule metabolic process	5	49	5559	22479	1	1	// AT3G24650 // AT1G62710 // AT5G22470 // AT5G45830 // AT4G18650 
GO:0009987	P	cellular process	17	49	9007	22479	0.82	1	// AT3G24650 // AT5G44120 // AT4G18650 // AT1G05510 // AT4G28520 // AT4G25140 // AT1G17810 // AT4G26740 // AT1G48130 // AT5G22470 // AT5G40420 // AT4G16160 // AT1G03880 // AT1G73190 // AT1G62710 // AT5G45830 // AT3G27660 
GO:0044249	P	cellular biosynthetic process	5	49	3715	22479	0.92	1	// AT5G45830 // AT3G24650 // AT5G22470 // AT4G26740 // AT4G18650 
GO:0045735	F	nutrient reservoir activity	12	49	52	22479	7.9e-21	3.1e-20	// AT5G44120 // AT3G22640 // AT4G27170 // AT4G28520 // AT2G28490 // AT4G27140 // AT4G27150 // AT4G27160 // AT5G54740 // AT1G03880 // AT1G03890 // AT4G36700 
GO:0008289	F	lipid binding	5	49	227	22479	0.00015	0.00044	// AT4G27170 // AT4G27140 // AT4G27150 // AT4G27160 // AT5G54740 
GO:0003824	F	catalytic activity	7	49	7454	22479	1	1	// AT4G26740 // AT5G50600 // AT1G48130 // AT5G22470 // AT4G01970 // AT1G62710 // AT4G10020 
GO:0005488	F	binding	12	49	8885	22479	0.99	1	// AT3G24650 // AT5G40420 // AT1G29680 // AT4G16160 // AT4G27140 // AT4G27150 // AT4G26740 // AT4G27160 // AT5G54740 // AT4G27170 // AT5G45830 // AT4G18650 
GO:0005576	C	extracellular region	16	49	378	22479	1.1e-16	2.5e-15	// AT4G27140 // AT3G22640 // AT4G27170 // AT1G04560 // AT4G25140 // AT2G02120 // AT1G19900 // AT3G62730 // AT4G27150 // AT2G27380 // AT4G27160 // AT5G54740 // AT1G03890 // AT2G28490 // AT4G10020 // AT5G07190 
GO:0016021	C	integral to membrane	15	49	510	22479	2e-13	4.3e-12	// AT1G65090 // AT5G62490 // AT3G27660 // AT5G60460 // AT4G25140 // AT1G17810 // AT4G26740 // AT3G18570 // AT5G40420 // AT3G01570 // AT1G04560 // AT4G16160 // AT1G73190 // AT4G31830 // AT4G10020 
GO:0005811	C	lipid particle	6	49	10	22479	6.1e-13	1.2e-11	// AT1G05510 // AT4G25140 // AT4G26740 // AT3G18570 // AT5G40420 // AT3G27660 
GO:0031224	C	intrinsic to membrane	17	49	858	22479	1.8e-12	3.4e-11	// AT1G65090 // AT5G62490 // AT3G27660 // AT5G60460 // AT4G25140 // AT1G54860 // AT1G17810 // AT4G26740 // AT3G18570 // AT5G40420 // AT3G01570 // AT1G04560 // AT4G16160 // AT1G73190 // AT4G31830 // AT4G10020 // AT5G07190 
GO:0044425	C	membrane part	18	49	1227	22479	4.6e-11	8.3e-10	// AT1G65090 // AT5G62490 // AT3G27660 // AT5G60460 // AT4G25140 // AT2G28490 // AT1G17810 // AT4G26740 // AT3G18570 // AT5G40420 // AT3G01570 // AT1G04560 // AT4G16160 // AT1G54860 // AT1G73190 // AT4G31830 // AT4G10020 // AT5G07190 
GO:0000325	C	plant-type vacuole	6	49	65	22479	9.9e-09	1.7e-07	// AT5G44120 // AT4G28520 // AT1G17810 // AT1G73190 // AT1G03880 // AT1G03890 
GO:0043227	C	membrane-bounded organelle	27	49	6577	22479	0.00014	0.0021	// AT1G65090 // AT4G21020 // AT1G73190 // AT1G03890 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT3G24650 // AT5G44120 // AT1G29680 // AT4G28520 // AT3G18570 // AT5G22470 // AT5G40420 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0005773	C	vacuole	7	49	527	22479	0.00015	0.0021	// AT5G44120 // AT4G28520 // AT1G17810 // AT1G73190 // AT1G03880 // AT1G03890 // AT1G62710 
GO:0043231	C	intracellular membrane-bounded organelle	27	49	6572	22479	0.00014	0.0021	// AT1G65090 // AT4G21020 // AT1G73190 // AT1G03890 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT3G24650 // AT5G44120 // AT1G29680 // AT4G28520 // AT3G18570 // AT5G22470 // AT5G40420 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0044424	C	intracellular part	29	49	7560	22479	0.00022	0.0029	// AT1G65090 // AT1G05510 // AT4G21020 // AT1G73190 // AT4G01970 // AT1G03890 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT3G24650 // AT5G44120 // AT1G29680 // AT4G28520 // AT3G18570 // AT5G22470 // AT5G40420 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0005737	C	cytoplasm	24	49	5645	22479	0.00027	0.0033	// AT1G65090 // AT1G05510 // AT4G21020 // AT1G73190 // AT4G01970 // AT1G03890 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT3G24650 // AT5G44120 // AT4G28520 // AT3G18570 // AT5G22470 // AT5G40420 // AT1G03880 // AT4G25140 // AT5G60460 // AT1G48130 // AT4G16160 
GO:0043229	C	intracellular organelle	27	49	6920	22479	0.00036	0.0036	// AT1G65090 // AT4G21020 // AT1G73190 // AT1G03890 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT3G24650 // AT5G44120 // AT1G29680 // AT4G28520 // AT3G18570 // AT5G22470 // AT5G40420 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0043226	C	organelle	27	49	6921	22479	0.00036	0.0036	// AT1G65090 // AT4G21020 // AT1G73190 // AT1G03890 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT3G24650 // AT5G44120 // AT1G29680 // AT4G28520 // AT3G18570 // AT5G22470 // AT5G40420 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0005622	C	intracellular	29	49	7876	22479	0.00049	0.0044	// AT1G65090 // AT1G05510 // AT4G21020 // AT1G73190 // AT4G01970 // AT1G03890 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT3G24650 // AT5G44120 // AT1G29680 // AT4G28520 // AT3G18570 // AT5G22470 // AT5G40420 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0016020	C	membrane	19	49	4173	22479	0.00077	0.0061	// AT1G65090 // AT5G62490 // AT3G27660 // AT5G60460 // AT4G25140 // AT4G21020 // AT1G17810 // AT4G26740 // AT3G18570 // AT5G40420 // AT3G01570 // AT1G04560 // AT4G16160 // AT1G54860 // AT1G73190 // AT4G31830 // AT2G28490 // AT4G10020 // AT5G07190 
GO:0005623	C	cell	38	49	12783	22479	0.0021	0.013	// AT1G73190 // AT1G65090 // AT1G05510 // AT4G21020 // AT5G62490 // AT3G01570 // AT4G01970 // AT1G03890 // AT4G31830 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT4G10020 // AT3G24650 // AT5G44120 // AT3G22640 // AT1G29680 // AT4G28520 // AT2G28490 // AT1G04560 // AT2G27380 // AT5G22470 // AT5G40420 // AT1G54860 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT3G18570 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0044464	C	cell part	38	49	12783	22479	0.0021	0.013	// AT1G73190 // AT1G65090 // AT1G05510 // AT4G21020 // AT5G62490 // AT3G01570 // AT4G01970 // AT1G03890 // AT4G31830 // AT5G07190 // AT3G27660 // AT5G64190 // AT1G17810 // AT4G26740 // AT5G50600 // AT2G21490 // AT1G62710 // AT4G10020 // AT3G24650 // AT5G44120 // AT3G22640 // AT1G29680 // AT4G28520 // AT2G28490 // AT1G04560 // AT2G27380 // AT5G22470 // AT5G40420 // AT1G54860 // AT1G03880 // AT4G18650 // AT5G45690 // AT4G25140 // AT5G60460 // AT3G18570 // AT1G48130 // AT4G16160 // AT5G45830 
GO:0005634	C	nucleus	12	49	2275	22479	0.003	0.015	// AT3G24650 // AT1G65090 // AT5G44120 // AT3G27660 // AT5G45690 // AT1G29680 // AT1G48130 // AT5G22470 // AT4G18650 // AT2G21490 // AT5G45830 // AT5G07190 
GO:0044444	C	cytoplasmic part	20	49	5278	22479	0.0053	0.021	// AT3G24650 // AT5G44120 // AT1G05510 // AT5G64190 // AT4G25140 // AT4G21020 // AT1G17810 // AT4G26740 // AT5G50600 // AT4G28520 // AT4G16160 // AT3G18570 // AT1G73190 // AT5G40420 // AT1G03880 // AT2G21490 // AT1G03890 // AT5G60460 // AT1G62710 // AT3G27660 
GO:0031090	C	organelle membrane	5	49	743	22479	0.023	0.068	// AT5G60460 // AT4G16160 // AT1G17810 // AT1G73190 // AT4G26740 
GO:0005886	C	plasma membrane	6	49	1921	22479	0.24	0.48	// AT1G17810 // AT5G60460 // AT4G21020 // AT1G54860 // AT1G73190 // AT2G28490 
GO:0044422	C	organelle part	5	49	2248	22479	0.55	0.55	// AT5G60460 // AT4G16160 // AT1G17810 // AT1G73190 // AT4G26740 
