GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0050896	P	response to stimulus	232	1357	4057	37767	3.4e-12	7e-09	// AT1G80840 // AT1G33080 // AT4G22950 // AT2G17860 // AT1G78290 // AT1G73500 // AT4G35900 // AT5G65380 // AT5G27100 // AT5G42810 // AT3G55120 // AT5G63790 // AT4G37150 // AT1G79460 // AT1G69270 // AT1G16590 // AT3G05660 // AT1G15170 // AT4G15440 // AT4G25480 // AT1G72920 // AT1G64070 // AT5G53750 // AT1G55010 // AT5G16990 // AT2G34340 // AT4G28556 // AT5G20410 // AT2G22240 // AT3G17070 // AT3G51480 // AT2G26150 // AT2G34360 // AT5G67270 // AT4G25470 // AT1G20450 // AT5G61640 // AT5G27420 // AT1G52040 // AT4G21440 // AT2G11810 // AT2G29420 // AT1G76650 // AT3G51240 // AT2G28830 // AT1G77310 // AT1G72910 // AT1G56510 // AT1G10760 // AT4G11280 // AT2G17840 // AT2G22010 // AT2G30020 // AT5G37980 // AT3G46620 // AT1G77920 // AT2G46070 // AT1G50290 // AT2G19860 // AT3G09870 // AT2G28560 // AT1G73330 // AT5G58080 // AT1G79440 // AT1G20440 // AT2G29500 // AT2G29630 // AT1G16850 // AT1G54100 // AT2G01200 // AT4G33950 // AT5G26920 // AT5G52450 // AT3G17800 // AT1G22770 // AT5G54250 // AT1G20823 // AT5G64890 // AT3G46970 // AT3G57530 // AT1G12480 // AT2G15480 // AT4G12400 // AT5G61600 // AT4G13810 // AT1G74310 // AT3G22370 // AT3G15210 // AT3G61250 // AT3G59220 // AT1G18710 // AT2G46240 // AT1G13930 // AT5G42380 // AT4G19880 // AT1G20470 // AT4G30370 // AT1G76690 // AT3G22840 // AT2G43535 // AT3G14370 // AT1G11210 // AT1G74410 // AT5G37500 // AT5G16980 // AT1G63750 // AT5G24590 // AT4G36050 // AT3G61890 // AT4G38580 // AT2G29940 // AT1G01880 // AT5G17000 // AT1G54050 // AT1G61890 // AT3G55980 // AT4G36930 // AT1G69260 // AT2G26650 // AT5G14640 // AT5G15960 // AT1G01580 // AT5G64250 // AT4G38380 // AT4G12000 // AT4G34410 // AT1G80130 // AT2G40670 // AT1G74650 // AT4G10780 // AT2G28900 // AT4G04955 // AT1G27760 // AT4G34000 // AT1G76680 // AT1G61800 // AT5G59220 // AT2G35380 // AT2G30870 // AT3G07500 // AT4G21910 // AT5G22300 // AT1G59860 // AT2G16720 // AT1G76180 // AT3G20200 // AT5G07990 // AT3G11020 // AT4G36010 // AT2G44910 // AT5G16970 // AT4G37580 // AT1G72950 // AT3G12580 // AT5G66400 // AT5G43740 // AT2G38050 // AT4G39260 // AT1G09650 // AT1G72360 // AT5G52640 // AT3G26790 // AT1G67080 // AT2G29090 // AT4G30650 // AT4G21480 // AT2G36750 // AT1G49720 // AT4G17615 // AT3G21950 // AT3G52115 // AT4G16940 // AT1G01520 // AT3G01220 // AT1G64360 // AT1G66090 // AT5G16960 // AT5G24380 // AT5G52310 // AT1G77280 // AT1G33970 // AT3G45640 // AT3G44260 // AT1G53170 // AT5G38150 // AT1G72940 // AT1G27730 // AT1G52920 // AT1G01720 // AT5G05410 // AT1G56650 // AT1G74930 // AT4G23670 // AT5G05400 // AT5G37770 // AT1G24010 // AT2G30080 // AT1G66380 // AT4G18880 // AT1G73700 // AT4G36000 // AT4G22880 // AT4G19520 // AT4G26080 // AT4G01540 // AT3G45650 // AT1G45616 // AT3G21890 // AT3G50660 // AT3G04110 // AT1G16030 // AT4G02200 // AT5G17700 // AT5G67180 // AT4G13180 // AT1G12280 // AT4G17490 // AT5G53890 // AT4G01060 // AT1G29390 // AT1G29395 // AT1G76570 // AT1G54160 // AT5G41750 // AT1G71697 // AT3G11410 // AT1G70560 // AT2G04240 // AT2G21660 // AT5G65140 // AT3G21150 // AT4G12740 
GO:0006950	P	response to stress	144	1357	2320	37767	5.8e-10	5.9e-07	// AT1G80840 // AT4G22950 // AT1G78290 // AT1G73500 // AT1G73330 // AT5G42810 // AT5G63790 // AT4G37150 // AT1G16590 // AT3G05660 // AT4G15440 // AT4G25480 // AT1G72920 // AT1G64070 // AT5G53750 // AT1G55010 // AT5G16990 // AT5G20410 // AT2G22240 // AT3G17070 // AT2G26150 // AT4G25470 // AT1G20450 // AT5G61640 // AT1G52040 // AT1G76650 // AT2G11810 // AT5G66400 // AT5G54250 // AT1G77310 // AT1G72910 // AT1G56510 // AT1G10760 // AT4G11280 // AT2G17840 // AT1G16030 // AT5G37980 // AT1G77920 // AT1G50290 // AT4G17615 // AT1G79440 // AT1G20440 // AT2G29500 // AT1G16850 // AT4G33950 // AT5G26920 // AT1G22770 // AT5G64890 // AT3G46970 // AT3G57530 // AT4G12400 // AT4G13810 // AT1G74310 // AT3G22370 // AT1G18710 // AT2G46240 // AT1G13930 // AT2G30870 // AT1G27760 // AT2G43535 // AT1G11210 // AT5G37500 // AT5G16980 // AT1G63750 // AT5G24590 // AT4G36050 // AT3G61890 // AT4G38580 // AT1G01880 // AT5G17000 // AT1G54050 // AT2G30020 // AT4G36930 // AT2G26650 // AT5G14640 // AT5G15960 // AT4G12000 // AT1G80130 // AT4G10780 // AT2G28900 // AT4G04955 // AT4G34000 // AT1G76680 // AT5G59220 // AT2G35380 // AT5G22300 // AT1G59860 // AT2G16720 // AT1G76180 // AT3G20200 // AT3G11020 // AT3G15210 // AT5G16970 // AT1G72950 // AT3G12580 // AT1G54100 // AT5G43740 // AT5G41750 // AT4G39260 // AT2G28560 // AT1G45616 // AT5G52640 // AT5G61600 // AT4G30650 // AT1G76690 // AT3G22840 // AT1G49720 // AT3G52115 // AT4G16940 // AT1G01520 // AT1G64360 // AT1G66090 // AT5G16960 // AT5G52310 // AT1G77280 // AT3G45640 // AT3G44260 // AT1G72940 // AT1G27730 // AT1G01720 // AT1G56650 // AT1G74930 // AT5G05400 // AT5G37770 // AT1G24010 // AT4G23670 // AT4G22880 // AT4G19520 // AT4G26080 // AT4G21440 // AT4G02200 // AT5G67180 // AT1G12280 // AT5G53890 // AT4G01060 // AT1G29390 // AT1G29395 // AT1G54160 // AT1G71697 // AT3G11410 // AT5G05410 // AT2G04240 // AT2G21660 // AT4G12740 
GO:0042221	P	response to chemical stimulus	131	1357	2085	37767	1.8e-09	1.3e-06	// AT1G80840 // AT1G33080 // AT3G21150 // AT1G73500 // AT1G73330 // AT5G65380 // AT5G58080 // AT5G63790 // AT1G79460 // AT1G69270 // AT4G38380 // AT1G15170 // AT3G15210 // AT4G25480 // AT5G16990 // AT2G34340 // AT2G22240 // AT3G17070 // AT2G26150 // AT4G23670 // AT1G20450 // AT5G61640 // AT5G27420 // AT4G21440 // AT2G29420 // AT2G29630 // AT2G28830 // AT5G16980 // AT4G11280 // AT2G17840 // AT5G37980 // AT3G46620 // AT2G46070 // AT2G19860 // AT1G50290 // AT4G17615 // AT1G20440 // AT2G29500 // AT2G01200 // AT4G33950 // AT5G26920 // AT1G22770 // AT1G20823 // AT3G46970 // AT5G66400 // AT3G57530 // AT1G12480 // AT4G12400 // AT1G74310 // AT3G61250 // AT3G59220 // AT4G34410 // AT2G46240 // AT1G13930 // AT5G42380 // AT4G19880 // AT1G20470 // AT4G30370 // AT1G11210 // AT1G74410 // AT5G37500 // AT3G61890 // AT5G17000 // AT1G54050 // AT1G61890 // AT3G55980 // AT3G09870 // AT5G15960 // AT4G12000 // AT1G18710 // AT1G80130 // AT2G40670 // AT1G74650 // AT2G28900 // AT4G34000 // AT1G76680 // AT1G61800 // AT5G59220 // AT2G35380 // AT2G30870 // AT5G22300 // AT2G16720 // AT1G76180 // AT3G11020 // AT2G44910 // AT5G16970 // AT4G37580 // AT3G12580 // AT1G54100 // AT1G09650 // AT1G72360 // AT5G52640 // AT3G26790 // AT1G66380 // AT1G49720 // AT3G21950 // AT5G64250 // AT3G01220 // AT1G64360 // AT5G16960 // AT5G24380 // AT5G52310 // AT3G45640 // AT1G53170 // AT1G27730 // AT1G52920 // AT1G01720 // AT1G56650 // AT5G37770 // AT2G34360 // AT2G29940 // AT4G18880 // AT1G73700 // AT4G22880 // AT4G26080 // AT4G01540 // AT3G50660 // AT4G02200 // AT5G17700 // AT4G21910 // AT4G13180 // AT1G69260 // AT4G17490 // AT4G01060 // AT1G29395 // AT1G70560 // AT1G54160 // AT3G11410 // AT5G05410 // AT2G04240 // AT5G65140 
GO:0009628	P	response to abiotic stimulus	97	1357	1471	37767	3.2e-08	1.6e-05	// AT4G22950 // AT1G78290 // AT1G73500 // AT4G35900 // AT5G27100 // AT4G25480 // AT4G28556 // AT1G20450 // AT2G22240 // AT3G51480 // AT2G26150 // AT4G23670 // AT5G67270 // AT4G25470 // AT1G73330 // AT4G21440 // AT5G66400 // AT3G51240 // AT3G04110 // AT2G38050 // AT4G11280 // AT2G17840 // AT4G17615 // AT1G79440 // AT1G20440 // AT2G29500 // AT1G16850 // AT1G16590 // AT3G55120 // AT3G17800 // AT1G22770 // AT3G46970 // AT3G57530 // AT1G12480 // AT4G12400 // AT1G74310 // AT3G22370 // AT4G33950 // AT3G59220 // AT1G18710 // AT2G46240 // AT1G13930 // AT2G30870 // AT1G27760 // AT3G14370 // AT5G37500 // AT3G61890 // AT4G38580 // AT1G10760 // AT1G16030 // AT4G36930 // AT2G26650 // AT5G14640 // AT5G15960 // AT1G54050 // AT2G28900 // AT4G34000 // AT5G59220 // AT2G36750 // AT3G07500 // AT1G59860 // AT2G16720 // AT1G76180 // AT5G07990 // AT3G11020 // AT2G44910 // AT4G37580 // AT3G12580 // AT1G54100 // AT4G39260 // AT5G52640 // AT1G67080 // AT4G30650 // AT3G22840 // AT3G52115 // AT1G01520 // AT5G52310 // AT3G45640 // AT5G38150 // AT1G27730 // AT1G56650 // AT5G37770 // AT2G29090 // AT1G70560 // AT4G26080 // AT3G45650 // AT3G21890 // AT4G02200 // AT5G67180 // AT4G01060 // AT1G29395 // AT1G76570 // AT1G54160 // AT3G11410 // AT5G05410 // AT2G04240 // AT2G21660 
GO:0009266	P	response to temperature stimulus	43	1357	485	37767	2.7e-07	9.4e-05	// AT2G17840 // AT4G22950 // AT1G10760 // AT4G36930 // AT5G52310 // AT4G17615 // AT1G16030 // AT3G45640 // AT1G79440 // AT1G20440 // AT2G29500 // AT1G27730 // AT5G15960 // AT1G54050 // AT4G25480 // AT3G11410 // AT5G37770 // AT1G22770 // AT2G28900 // AT1G59860 // AT4G38580 // AT4G26080 // AT4G12400 // AT2G22240 // AT1G74310 // AT3G22370 // AT2G26150 // AT1G76180 // AT3G11020 // AT4G25470 // AT2G46240 // AT1G20450 // AT5G67180 // AT3G12580 // AT5G66400 // AT3G22840 // AT1G29395 // AT4G39260 // AT5G37500 // AT5G05410 // AT5G52640 // AT2G21660 // AT4G30650 
GO:0045449	P	regulation of transcription	109	1357	1802	37767	2.7e-07	9.4e-05	// AT1G80840 // AT1G30500 // AT4G22950 // AT3G21150 // AT1G73500 // AT4G34680 // AT5G32460 // AT2G35700 // AT5G58080 // AT1G01380 // AT1G51140 // AT4G36240 // AT3G15210 // AT4G25480 // AT4G27270 // AT1G59640 // AT1G46768 // AT5G50010 // AT5G65320 // AT3G61740 // AT1G10610 // AT3G55210 // AT2G21320 // AT5G53430 // AT4G25470 // AT4G21440 // AT4G35270 // AT4G31270 // AT1G19210 // AT3G23210 // AT5G66300 // AT3G62610 // AT2G13960 // AT2G42200 // AT4G08250 // AT1G22770 // AT3G61890 // AT2G47890 // AT4G38340 // AT3G61250 // AT1G18710 // AT4G05170 // AT3G53920 // AT2G38300 // AT1G26260 // AT5G11050 // AT5G58280 // AT1G28050 // AT1G16060 // AT4G34400 // AT1G76350 // AT2G43500 // AT2G35550 // AT4G34410 // AT4G00870 // AT1G74650 // AT4G23050 // AT4G34000 // AT1G19490 // AT1G76580 // AT4G10600 // AT2G19810 // AT2G40200 // AT2G16720 // AT5G57150 // AT1G20700 // AT3G11020 // AT2G44910 // AT5G06510 // AT4G25410 // AT1G72360 // AT5G61600 // AT1G60250 // AT5G60120 // AT1G49720 // AT3G05690 // AT5G04760 // AT5G56840 // AT1G01520 // AT3G01220 // AT5G56270 // AT1G53170 // AT2G37260 // AT5G25390 // AT1G77200 // AT1G56650 // AT1G74930 // AT5G11590 // AT1G66380 // AT5G54470 // AT3G21890 // AT3G24140 // AT3G13840 // AT1G01250 // AT3G55980 // AT2G17180 // AT5G67180 // AT4G17490 // AT1G56170 // AT4G01060 // AT2G34720 // AT2G38340 // AT1G54160 // AT1G05920 // AT1G63650 // AT5G05410 // AT2G02060 // AT1G66390 // AT3G19500 
GO:0009889	P	regulation of biosynthetic process	111	1357	1881	37767	6.6e-07	0.00017	// AT1G80840 // AT1G30500 // AT4G22950 // AT3G21150 // AT1G73500 // AT4G34680 // AT5G32460 // AT2G35700 // AT5G58080 // AT1G01380 // AT1G51140 // AT4G36240 // AT3G15210 // AT4G25480 // AT4G27270 // AT1G59640 // AT1G46768 // AT5G50010 // AT5G65320 // AT3G61740 // AT1G10610 // AT3G55210 // AT2G21320 // AT5G53430 // AT4G25470 // AT4G21440 // AT4G35270 // AT4G31270 // AT1G19210 // AT3G23210 // AT5G66300 // AT3G62610 // AT2G13960 // AT2G42200 // AT4G08250 // AT1G22770 // AT3G61890 // AT1G76350 // AT4G38340 // AT3G61250 // AT1G18710 // AT4G05170 // AT3G53920 // AT2G38300 // AT1G26260 // AT5G11050 // AT5G58280 // AT1G28050 // AT1G16060 // AT4G34400 // AT2G47890 // AT2G43500 // AT2G35550 // AT4G34410 // AT4G00870 // AT1G74650 // AT4G23050 // AT4G34000 // AT1G19490 // AT1G76580 // AT4G10600 // AT2G19810 // AT2G40200 // AT2G16720 // AT5G57150 // AT1G20700 // AT3G11020 // AT2G44910 // AT5G06510 // AT4G25410 // AT1G72360 // AT3G26790 // AT5G61600 // AT1G60250 // AT5G60120 // AT1G49720 // AT3G05690 // AT5G04760 // AT5G56840 // AT1G01520 // AT3G01220 // AT5G56270 // AT1G53170 // AT2G37260 // AT5G25390 // AT1G77200 // AT1G56650 // AT1G74930 // AT1G61720 // AT5G11590 // AT1G66380 // AT5G54470 // AT3G21890 // AT3G24140 // AT3G13840 // AT1G01250 // AT3G55980 // AT2G17180 // AT5G67180 // AT4G17490 // AT1G56170 // AT4G01060 // AT2G34720 // AT2G38340 // AT1G54160 // AT1G05920 // AT1G63650 // AT5G05410 // AT2G02060 // AT1G66390 // AT3G19500 
GO:0031326	P	regulation of cellular biosynthetic process	111	1357	1881	37767	6.6e-07	0.00017	// AT1G80840 // AT1G30500 // AT4G22950 // AT3G21150 // AT1G73500 // AT4G34680 // AT5G32460 // AT2G35700 // AT5G58080 // AT1G01380 // AT1G51140 // AT4G36240 // AT3G15210 // AT4G25480 // AT4G27270 // AT1G59640 // AT1G46768 // AT5G50010 // AT5G65320 // AT3G61740 // AT1G10610 // AT3G55210 // AT2G21320 // AT5G53430 // AT4G25470 // AT4G21440 // AT4G35270 // AT4G31270 // AT1G19210 // AT3G23210 // AT5G66300 // AT3G62610 // AT2G13960 // AT2G42200 // AT4G08250 // AT1G22770 // AT3G61890 // AT1G76350 // AT4G38340 // AT3G61250 // AT1G18710 // AT4G05170 // AT3G53920 // AT2G38300 // AT1G26260 // AT5G11050 // AT5G58280 // AT1G28050 // AT1G16060 // AT4G34400 // AT2G47890 // AT2G43500 // AT2G35550 // AT4G34410 // AT4G00870 // AT1G74650 // AT4G23050 // AT4G34000 // AT1G19490 // AT1G76580 // AT4G10600 // AT2G19810 // AT2G40200 // AT2G16720 // AT5G57150 // AT1G20700 // AT3G11020 // AT2G44910 // AT5G06510 // AT4G25410 // AT1G72360 // AT3G26790 // AT5G61600 // AT1G60250 // AT5G60120 // AT1G49720 // AT3G05690 // AT5G04760 // AT5G56840 // AT1G01520 // AT3G01220 // AT5G56270 // AT1G53170 // AT2G37260 // AT5G25390 // AT1G77200 // AT1G56650 // AT1G74930 // AT1G61720 // AT5G11590 // AT1G66380 // AT5G54470 // AT3G21890 // AT3G24140 // AT3G13840 // AT1G01250 // AT3G55980 // AT2G17180 // AT5G67180 // AT4G17490 // AT1G56170 // AT4G01060 // AT2G34720 // AT2G38340 // AT1G54160 // AT1G05920 // AT1G63650 // AT5G05410 // AT2G02060 // AT1G66390 // AT3G19500 
GO:0010556	P	regulation of macromolecule biosynthetic process	109	1357	1843	37767	7.5e-07	0.00017	// AT1G80840 // AT1G30500 // AT4G22950 // AT3G21150 // AT1G73500 // AT4G34680 // AT5G32460 // AT2G35700 // AT5G58080 // AT1G01380 // AT1G51140 // AT4G36240 // AT3G15210 // AT4G25480 // AT4G27270 // AT1G59640 // AT1G46768 // AT5G50010 // AT5G65320 // AT3G61740 // AT1G10610 // AT3G55210 // AT2G21320 // AT5G53430 // AT4G25470 // AT4G21440 // AT4G35270 // AT4G31270 // AT1G19210 // AT3G23210 // AT5G66300 // AT3G62610 // AT2G13960 // AT2G42200 // AT4G08250 // AT1G22770 // AT3G61890 // AT2G47890 // AT4G38340 // AT3G61250 // AT1G18710 // AT4G05170 // AT3G53920 // AT2G38300 // AT1G26260 // AT5G11050 // AT5G58280 // AT1G28050 // AT1G16060 // AT4G34400 // AT1G76350 // AT2G43500 // AT2G35550 // AT4G34410 // AT4G00870 // AT1G74650 // AT4G23050 // AT4G34000 // AT1G19490 // AT1G76580 // AT4G10600 // AT2G19810 // AT2G40200 // AT2G16720 // AT5G57150 // AT1G20700 // AT3G11020 // AT2G44910 // AT5G06510 // AT4G25410 // AT1G72360 // AT5G61600 // AT1G60250 // AT5G60120 // AT1G49720 // AT3G05690 // AT5G04760 // AT5G56840 // AT1G01520 // AT3G01220 // AT5G56270 // AT1G53170 // AT2G37260 // AT5G25390 // AT1G77200 // AT1G56650 // AT1G74930 // AT5G11590 // AT1G66380 // AT5G54470 // AT3G21890 // AT3G24140 // AT3G13840 // AT1G01250 // AT3G55980 // AT2G17180 // AT5G67180 // AT4G17490 // AT1G56170 // AT4G01060 // AT2G34720 // AT2G38340 // AT1G54160 // AT1G05920 // AT1G63650 // AT5G05410 // AT2G02060 // AT1G66390 // AT3G19500 
GO:0019219	P	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	109	1357	1847	37767	8.3e-07	0.00017	// AT1G80840 // AT1G30500 // AT4G22950 // AT3G21150 // AT1G73500 // AT4G34680 // AT5G32460 // AT2G35700 // AT5G58080 // AT1G01380 // AT1G51140 // AT4G36240 // AT3G15210 // AT4G25480 // AT4G27270 // AT1G59640 // AT1G46768 // AT5G50010 // AT5G65320 // AT3G61740 // AT1G10610 // AT3G55210 // AT2G21320 // AT5G53430 // AT4G25470 // AT4G21440 // AT4G35270 // AT4G31270 // AT1G19210 // AT3G23210 // AT5G66300 // AT3G62610 // AT2G13960 // AT2G42200 // AT4G08250 // AT1G22770 // AT3G61890 // AT2G47890 // AT4G38340 // AT3G61250 // AT1G18710 // AT4G05170 // AT3G53920 // AT2G38300 // AT1G26260 // AT5G11050 // AT5G58280 // AT1G28050 // AT1G16060 // AT4G34400 // AT1G76350 // AT2G43500 // AT2G35550 // AT4G34410 // AT4G00870 // AT1G74650 // AT4G23050 // AT4G34000 // AT1G19490 // AT1G76580 // AT4G10600 // AT2G19810 // AT2G40200 // AT2G16720 // AT5G57150 // AT1G20700 // AT3G11020 // AT2G44910 // AT5G06510 // AT4G25410 // AT1G72360 // AT5G61600 // AT1G60250 // AT5G60120 // AT1G49720 // AT3G05690 // AT5G04760 // AT5G56840 // AT1G01520 // AT3G01220 // AT5G56270 // AT1G53170 // AT2G37260 // AT5G25390 // AT1G77200 // AT1G56650 // AT1G74930 // AT5G11590 // AT1G66380 // AT5G54470 // AT3G21890 // AT3G24140 // AT3G13840 // AT1G01250 // AT3G55980 // AT2G17180 // AT5G67180 // AT4G17490 // AT1G56170 // AT4G01060 // AT2G34720 // AT2G38340 // AT1G54160 // AT1G05920 // AT1G63650 // AT5G05410 // AT2G02060 // AT1G66390 // AT3G19500 
