GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0050896	P	response to stimulus	50	299	4057	37767	0.0012	0.52	// AT4G12560 // AT4G04955 // AT5G49730 // AT1G01520 // AT3G61220 // AT5G47100 // AT1G76570 // AT3G22420 // AT5G24380 // AT1G77280 // AT1G50290 // AT2G18260 // AT1G61300 // AT4G32980 // AT5G20150 // AT5G24120 // AT2G46790 // AT4G23260 // AT2G34060 // AT1G62630 // AT5G40910 // AT5G18080 // AT1G02820 // AT4G22950 // AT1G60960 // AT2G31230 // AT5G20410 // AT4G13810 // AT3G50660 // AT1G13080 // AT2G23430 // AT5G26990 // AT2G43280 // AT4G19500 // AT3G15352 // AT3G53250 // AT2G45660 // AT4G12850 // AT5G16600 // AT5G60430 // AT4G25100 // AT5G43700 // AT1G20470 // AT4G01060 // AT5G43740 // AT4G03290 // AT3G60690 // AT3G09190 // AT1G67080 // AT1G19660 
GO:0022621	P	shoot system development	6	299	358	37767	0.069	1	// AT4G01060 // AT1G64690 // AT3G61970 // AT2G23430 // AT3G25717 // AT3G50660 
GO:0080090	P	regulation of primary metabolic process	21	299	1952	37767	0.099	1	// AT5G16600 // AT5G24120 // AT5G43700 // AT2G28200 // AT2G31230 // AT3G16220 // AT4G22950 // AT1G64860 // AT4G39780 // AT5G52170 // AT5G47140 // AT2G23430 // AT4G35270 // AT3G24490 // AT1G01520 // AT4G01060 // AT5G16450 // AT1G71200 // AT4G14410 // AT3G20280 // AT4G32980 
GO:0019222	P	regulation of metabolic process	23	299	2210	37767	0.11	1	// AT5G16600 // AT1G01520 // AT4G22950 // AT5G47140 // AT5G24120 // AT2G28200 // AT4G34060 // AT4G35270 // AT3G24490 // AT5G16450 // AT1G71200 // AT3G20280 // AT4G32980 // AT2G31230 // AT3G16220 // AT2G23430 // AT5G43700 // AT4G01060 // AT1G64860 // AT5G52170 // AT4G39780 // AT1G67080 // AT4G14410 
GO:0007165	P	signal transduction	10	299	1228	37767	0.51	1	// AT4G13810 // AT5G49290 // AT2G31230 // AT1G13460 // AT2G46790 // AT4G19500 // AT2G37670 // AT4G11330 // AT5G40910 // AT3G25905 
GO:0051716	P	cellular response to stimulus	6	299	840	37767	0.66	1	// AT5G20150 // AT4G25100 // AT2G31230 // AT5G20410 // AT2G46790 // AT4G04955 
GO:0000003	P	reproduction	7	299	1186	37767	0.83	1	// AT4G32980 // AT4G01060 // AT3G61970 // AT3G22420 // AT5G60440 // AT3G09190 // AT2G45660 
GO:0048513	P	organ development	10	299	838	37767	0.13	1	// AT4G20140 // AT1G64690 // AT4G32980 // AT4G01060 // AT4G22950 // AT3G50660 // AT2G23430 // AT5G60440 // AT3G25717 // AT3G61970 
GO:0016310	P	phosphorylation	13	299	1079	37767	0.092	1	// AT3G57640 // AT4G20140 // AT1G65190 // AT4G23290 // AT3G22420 // AT2G23430 // AT1G52540 // AT1G77280 // AT1G66980 // AT5G38240 // AT2G43690 // AT3G47580 // AT1G71810 
GO:0060255	P	regulation of macromolecule metabolic process	21	299	2060	37767	0.14	1	// AT5G16600 // AT5G24120 // AT5G43700 // AT2G28200 // AT2G31230 // AT3G16220 // AT4G22950 // AT4G34060 // AT4G39780 // AT5G52170 // AT5G47140 // AT2G23430 // AT4G35270 // AT3G24490 // AT1G01520 // AT4G01060 // AT5G16450 // AT1G71200 // AT4G14410 // AT1G64860 // AT3G20280 
GO:0032787	P	monocarboxylic acid metabolic process	6	299	408	37767	0.11	1	// AT4G32980 // AT3G05020 // AT5G20410 // AT2G37700 // AT1G67080 // AT3G11750 
GO:0003006	P	reproductive developmental process	7	299	978	37767	0.66	1	// AT4G32980 // AT4G01060 // AT3G61970 // AT3G22420 // AT5G60440 // AT3G09190 // AT2G45660 
