GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0050896	P	response to stimulus	163	1056	4057	37767	2.6e-06	0.0043	// AT1G64380 // AT5G26680 // AT4G34810 // AT5G45380 // AT1G66480 // AT1G12210 // AT2G16650 // AT2G30770 // AT4G23550 // AT3G14990 // AT1G08930 // AT2G37430 // AT1G07590 // AT3G21780 // AT3G13782 // AT3G49620 // AT1G64070 // AT3G43920 // AT5G39610 // AT1G77920 // AT1G02860 // AT5G25910 // AT3G28580 // AT1G05010 // AT5G60430 // AT1G52500 // AT2G28210 // AT5G57450 // AT4G19700 // AT1G52200 // AT4G08770 // AT5G43700 // AT1G57630 // AT4G34770 // AT1G58602 // AT1G66370 // AT3G50260 // AT5G43170 // AT4G26150 // AT1G18570 // AT5G26220 // AT5G62470 // AT5G04190 // AT5G56950 // AT1G58170 // AT4G11290 // AT4G24350 // AT5G20810 // AT5G18170 // AT3G28210 // AT2G14610 // AT3G15500 // AT1G72900 // AT3G19850 // AT3G26680 // AT1G06160 // AT5G26920 // AT4G11170 // AT5G13740 // AT5G65970 // AT2G04070 // AT1G47890 // AT2G15480 // AT3G49110 // AT2G31230 // AT5G62920 // AT5G57220 // AT2G44080 // AT3G53250 // AT5G56550 // AT5G10520 // AT3G26830 // AT5G54960 // AT4G11850 // AT1G74890 // AT3G16530 // AT5G38344 // AT5G25900 // AT5G13080 // AT4G02520 // AT1G58400 // AT4G02460 // AT3G22460 // AT3G54420 // AT1G01880 // AT2G32240 // AT2G26560 // AT2G26650 // AT3G23150 // AT5G57890 // AT1G71400 // AT1G80130 // AT3G48100 // AT1G16420 // AT2G41240 // AT2G46400 // AT1G02930 // AT1G19050 // AT2G30250 // AT1G58410 // AT3G23550 // AT5G03730 // AT3G19260 // AT5G22300 // AT1G31880 // AT1G33960 // AT3G15352 // AT4G33050 // AT4G38850 // AT4G21870 // AT1G19250 // AT5G24270 // AT2G40670 // AT5G43740 // AT1G15520 // AT1G51340 // AT2G31970 // AT1G67080 // AT4G16260 // AT3G04720 // AT3G28940 // AT2G47000 // AT2G17290 // AT5G46330 // AT4G34800 // AT4G13920 // AT1G66090 // AT2G26020 // AT5G48850 // AT1G62380 // AT1G74670 // AT5G44430 // AT4G34135 // AT3G28930 // AT1G26960 // AT3G52905 // AT5G40910 // AT3G60690 // AT3G04220 // AT3G45650 // AT2G18300 // AT2G23680 // AT1G65470 // AT2G19490 // AT5G61590 // AT1G78410 // AT1G57650 // AT4G12850 // AT5G51830 // AT1G13740 // AT1G52890 // AT5G27760 // AT3G45860 // AT5G44420 // AT5G40840 // AT1G19020 // AT3G09190 // AT1G10940 // AT1G18350 // AT1G21520 // AT5G55850 // AT5G03720 // AT1G69530 
GO:0042221	P	response to chemical stimulus	93	1056	2085	37767	1.3e-05	0.01	// AT1G64380 // AT1G52500 // AT2G16650 // AT4G23550 // AT3G14990 // AT1G08930 // AT2G37430 // AT1G07590 // AT4G19700 // AT3G43920 // AT5G39610 // AT1G02860 // AT5G25910 // AT3G28580 // AT2G28210 // AT3G21780 // AT1G52200 // AT4G08770 // AT5G43700 // AT4G34770 // AT1G66370 // AT3G50260 // AT5G43170 // AT2G44080 // AT1G18570 // AT5G26220 // AT5G62470 // AT1G16420 // AT5G20810 // AT3G28210 // AT2G14610 // AT3G15500 // AT1G06160 // AT5G26920 // AT4G11170 // AT5G13740 // AT2G04070 // AT4G11290 // AT2G31230 // AT4G26150 // AT3G53250 // AT5G56550 // AT3G26830 // AT5G54960 // AT1G74890 // AT3G16530 // AT5G25900 // AT4G34810 // AT3G22460 // AT2G32240 // AT3G23150 // AT1G80130 // AT3G48100 // AT2G41240 // AT1G15520 // AT1G02930 // AT1G19050 // AT4G34800 // AT3G23550 // AT5G03730 // AT3G19260 // AT5G22300 // AT1G31880 // AT3G15352 // AT4G33050 // AT4G38850 // AT5G60430 // AT5G24270 // AT2G40670 // AT2G46400 // AT1G51340 // AT5G62920 // AT3G04720 // AT2G47000 // AT2G17290 // AT5G61590 // AT1G62380 // AT1G74670 // AT5G55850 // AT1G26960 // AT3G60690 // AT2G18300 // AT1G78410 // AT5G51830 // AT1G13740 // AT1G52890 // AT5G27760 // AT5G44420 // AT1G19020 // AT1G18350 // AT1G21520 // AT5G03720 // AT1G69530 
GO:0008037	P	cell recognition	7	1056	32	37767	7.8e-05	0.032	// AT1G61370 // AT1G11300 // AT1G61490 // AT4G27300 // AT1G61400 // AT1G61420 // AT1G61360 
GO:0048544	P	recognition of pollen	7	1056	32	37767	7.8e-05	0.032	// AT1G61370 // AT1G11300 // AT1G61490 // AT4G27300 // AT1G61400 // AT1G61420 // AT1G61360 
GO:0006952	P	defense response	41	1056	766	37767	0.00012	0.039	// AT1G58400 // AT1G57630 // AT1G58170 // AT5G46330 // AT3G54420 // AT4G13920 // AT1G66090 // AT2G26020 // AT2G30770 // AT1G47890 // AT2G26560 // AT2G14610 // AT1G72900 // AT5G44430 // AT3G49110 // AT1G71400 // AT1G06160 // AT1G64070 // AT5G26920 // AT4G11170 // AT1G77920 // AT5G65970 // AT5G40910 // AT1G02860 // AT3G04220 // AT5G25910 // AT5G57220 // AT1G12210 // AT1G18570 // AT5G10520 // AT1G19250 // AT3G45860 // AT4G11850 // AT5G43740 // AT1G58410 // AT1G58602 // AT5G38344 // AT1G18350 // AT1G57650 // AT3G04720 // AT5G44420 
GO:0051716	P	cellular response to stimulus	43	1056	840	37767	0.0002	0.042	// AT5G04190 // AT5G56950 // AT5G26680 // AT5G45380 // AT5G40840 // AT5G46330 // AT3G54420 // AT1G52500 // AT1G01880 // AT2G31970 // AT4G02460 // AT2G26560 // AT3G23150 // AT5G48850 // AT2G17290 // AT1G74670 // AT3G26680 // AT1G06160 // AT3G13782 // AT3G49620 // AT3G48100 // AT3G43920 // AT1G19050 // AT3G52905 // AT1G02860 // AT2G47000 // AT5G03730 // AT2G31230 // AT2G44080 // AT5G57220 // AT1G65470 // AT2G19490 // AT5G13080 // AT1G18570 // AT5G57450 // AT1G19250 // AT2G40670 // AT1G74890 // AT3G15500 // AT1G18350 // AT5G62920 // AT5G25900 // AT1G31880 
GO:0009875	P	pollen-pistil interaction	7	1056	39	37767	0.00023	0.042	// AT1G61370 // AT1G11300 // AT1G61490 // AT4G27300 // AT1G61400 // AT1G61420 // AT1G61360 
GO:0010200	P	response to chitin	14	1056	151	37767	0.00018	0.042	// AT1G64380 // AT1G08930 // AT5G25910 // AT2G31230 // AT3G28210 // AT5G03720 // AT3G50260 // AT4G23550 // AT5G43170 // AT4G33050 // AT3G16530 // AT2G37430 // AT2G46400 // AT1G19050 
GO:0051704	P	multi-organism process	41	1056	776	37767	0.00015	0.042	// AT3G28940 // AT5G56950 // AT1G77920 // AT5G46330 // AT3G44750 // AT2G30770 // AT1G61360 // AT2G26560 // AT5G57890 // AT1G11300 // AT4G34135 // AT1G06160 // AT5G26920 // AT1G05010 // AT1G64070 // AT3G28930 // AT5G13740 // AT1G02860 // AT3G49110 // AT2G15480 // AT5G25910 // AT5G57220 // AT1G61490 // AT3G19260 // AT2G14610 // AT1G12210 // AT3G15352 // AT5G10520 // AT3G26830 // AT1G19250 // AT1G61370 // AT4G11850 // AT5G44420 // AT4G27300 // AT1G61400 // AT1G18350 // AT3G56960 // AT1G61420 // AT1G18570 // AT3G04720 // AT1G33960 
GO:0009617	P	response to bacterium	18	1056	247	37767	0.00039	0.063	// AT3G28940 // AT5G57890 // AT3G49110 // AT4G11850 // AT5G57220 // AT1G18350 // AT5G46330 // AT1G12210 // AT5G26920 // AT2G30770 // AT1G19250 // AT3G28930 // AT1G33960 // AT3G15352 // AT1G77920 // AT1G18570 // AT1G02860 // AT3G26830 
